Original,Canonical
Antigua and Barbuda,Antigua And Barbuda
Bosnia and Herzegovina,Bosnia And Herzegovina
Brunei ,Brunei
Côte d'Ivoire,Côte D'Ivoire
DR Congo,Dr Congo
State of Palestine,State Of Palestine
Trinidad and Tobago,Trinidad And Tobago
