Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,Population
Guinea-Bissau,64.4,66.7,62.0,46.2,1038474,80,2450.978,5046061251.51,2058795.0
Guyana,70.4,74.2,66.7,26.6,222762,4,22865.932,18645909919.74,815445.0
Haiti,65.3,68.7,62.1,61.7,7343428,432,3134.9502,35658635257.6092,11374546.0
Honduras,73.2,75.9,70.6,58.3,6421078,98,6202.981,63827613780.249,10289829.0
Hong Kong,85.8,88.4,83.1,0.0,0,7044,65884.94,493118930022.18,7484547.0
Hungary,77.3,80.5,74.1,72.0,6937818,106,38648.0,375186822512.0,9707794.0
Iceland,83.2,84.6,81.8,84.0,334395,4,62032.27,23113037705.19,372597.0
India,72.5,74.1,71.0,37.1,542742539,492,8050.0186,11384367216191.424,1414203840.0
Indonesia,71.4,73.6,69.3,59.6,170361295,158,12757.074,3530622413662.74,276758010.0
Iran,78.1,80.0,76.2,73.3,67760281,57,14951.895,1322576495914.485,88455443.0
Iraq,72.5,74.3,70.6,72.4,34038857,108,12731.754,548371439078.148,43071162.0
Ireland,82.7,84.7,80.8,62.1,3294830,77,118102.766,593866413218.442,5028387.0
Israel,82.8,84.8,80.7,91.4,8698204,440,46238.223,413502324843.56396,8942868.0
Italy,84.0,86.0,81.9,72.0,42568771,201,50465.086,3014244261219.8003,59729300.0
Jamaica,71.7,74.3,69.2,60.2,1706544,262,9577.164,27176486189.976,2837634.0
Japan,85.0,88.0,82.0,93.1,114645589,338,44549.34,5598929332069.92,125679288.0
Jordan,78.1,80.5,76.1,85.1,9802267,130,9182.496,101616347309.76,11066310.0
Kazakhstan,74.7,78.6,70.4,55.1,11494249,8,32945.85,650468530955.25,19743565.0
Kenya,64.0,66.3,61.8,31.9,18371967,101,5338.8525,284129042537.505,53219122.0
Kiribati,66.7,68.5,64.8,57.3,78192,169,3049.4739,391387777.1694,128346.0
Kuwait,80.8,82.1,79.6,91.6,4602914,282,50689.043,221039861877.229,4360703.0
