Country,LifeExpectancy Both,LifeExpectancy Female,LifeExpectancy Male,UrbanPopulation Percentage,UrbanPopulation Absolute,PopulationDensity,ScrapeTimestamp
Djibouti,66.4,69.0,69.0,71.3,843657,51,2025-05-12T16:21:32.062624
Dominican Republic,74.0,77.2,77.2,86.4,9950299,238,2025-05-12T16:21:32.716690
Ecuador,77.8,80.5,80.5,66.0,12062680,74,2025-05-12T16:21:34.040608
Egypt,72.0,74.2,74.2,40.9,48427431,119,2025-05-12T16:21:34.685332
El Salvador,72.5,76.7,76.7,79.9,5085472,307,2025-05-12T16:21:35.304329
Equatorial Guinea,64.1,66.1,66.1,63.6,1232213,69,2025-05-12T16:21:35.906852
Eritrea,69.2,71.2,71.2,74.8,2698752,36,2025-05-12T16:21:36.524718
Estonia,79.5,83.3,83.3,66.9,899102,32,2025-05-12T16:21:37.146278
Eswatini,64.4,67.3,67.3,31.3,392638,73,2025-05-12T16:21:37.777055
Ethiopia,67.9,71.3,71.3,22.5,30487323,135,2025-05-12T16:21:38.395554
Fiji,67.6,69.7,69.7,60.8,567088,51,2025-05-12T16:21:39.005032
Finland,82.2,84.9,84.9,86.7,4874169,19,2025-05-12T16:21:39.606576
France,83.6,86.3,86.3,82.5,55018724,122,2025-05-12T16:21:40.258661
French Guiana,77.4,80.3,80.3,94.5,296315,4,2025-05-12T16:21:40.874005
French Polynesia,84.3,86.7,86.7,65.9,186114,77,2025-05-12T16:21:41.483993
Gabon,68.7,71.4,71.4,83.7,2171202,10,2025-05-12T16:21:42.169466
Gambia,66.3,68.0,68.0,61.3,1731095,279,2025-05-12T16:21:42.818614
Georgia,74.8,79.4,79.4,62.0,2358908,55,2025-05-12T16:21:43.478488
Germany,81.7,84.0,84.0,76.5,64345635,241,2025-05-12T16:21:44.120223
Ghana,65.9,68.4,68.4,58.6,20539206,154,2025-05-12T16:21:44.738238
Greece,82.2,84.6,84.6,89.5,8897137,77,2025-05-12T16:21:45.369932
Grenada,75.5,78.6,78.6,35.5,41685,345,2025-05-12T16:21:45.983570
Guadeloupe,82.4,85.8,85.8,0.0,0,221,2025-05-12T16:21:46.608970
Guam,77.6,81.7,81.7,98.8,167029,313,2025-05-12T16:21:47.227590
Guatemala,72.9,75.2,75.2,56.6,10568383,174,2025-05-12T16:21:47.838791
Guinea,61.1,62.3,62.3,40.3,6082701,61,2025-05-12T16:21:48.523604
Guinea-Bissau,64.4,66.7,66.7,46.2,1038474,80,2025-05-12T16:21:49.139842
Guyana,70.4,74.2,74.2,26.6,222762,4,2025-05-12T16:21:49.783910
Haiti,65.3,68.7,68.7,61.7,7343428,432,2025-05-12T16:21:50.417019
Honduras,73.2,75.9,75.9,58.3,6421078,98,2025-05-12T16:21:51.057406
Hong Kong,85.8,88.4,88.4,0.0,0,7044,2025-05-12T16:21:51.690060
Hungary,77.3,80.5,80.5,72.0,6937818,106,2025-05-12T16:21:52.302076
Iceland,83.2,84.6,84.6,84.0,334395,4,2025-05-12T16:21:52.931063
India,72.5,74.1,74.1,37.1,542742539,492,2025-05-12T16:21:53.547141
Indonesia,71.4,73.6,73.6,59.6,170361295,158,2025-05-12T16:21:54.161731
Iran,78.1,80.0,80.0,73.3,67760281,57,2025-05-12T16:21:54.794190
Iraq,72.5,74.3,74.3,72.4,34038857,108,2025-05-12T16:21:55.422256
Ireland,82.7,84.7,84.7,62.1,3294830,77,2025-05-12T16:21:56.074268
Israel,82.8,84.8,84.8,91.4,8698204,440,2025-05-12T16:21:56.719250
Italy,84.0,86.0,86.0,72.0,42568771,201,2025-05-12T16:21:57.417317
Jamaica,71.7,74.3,74.3,60.2,1706544,262,2025-05-12T16:21:58.057627
Japan,85.0,88.0,88.0,93.1,114645589,338,2025-05-12T16:21:58.668592
Jordan,78.1,80.5,80.5,85.1,9802267,130,2025-05-12T16:21:59.316261
Kazakhstan,74.7,78.6,78.6,55.1,11494249,8,2025-05-12T16:21:59.997236
Kenya,64.0,66.3,66.3,31.9,18371967,101,2025-05-12T16:22:00.621900
Kiribati,66.7,68.5,68.5,57.3,78192,169,2025-05-12T16:22:01.247652
Kuwait,80.8,82.1,82.1,91.6,4602914,282,2025-05-12T16:22:01.858342
Kyrgyzstan,72.0,75.6,75.6,35.3,2573712,38,2025-05-12T16:22:02.491274
Laos,69.5,71.8,71.8,38.3,3018824,34,2025-05-12T16:22:03.139876
Latvia,76.5,80.7,80.7,67.5,1250246,30,2025-05-12T16:22:03.765916
